"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-02-06","4.03",,"0.00","0.0","0.0",,"79","43","  300","  360","15.0","18.1",,,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-02-07","3.13",,"0.00","0.0","0.0",,"80","51","  290","  260","12.1","18.1",,,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-02-08","2.68",,"0.00","0.0","0.0",,"86","47","  180","  190","10.1","14.1",,,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-02-09","3.58",,"0.00","0.0","0.0",,"87","45","  320","  320","23.9","28.0",,,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-02-10","3.58",,"0.00","0.0","0.0",,"79","44","  300","  300","16.1","19.0",,,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-02-11","2.46",,"0.00",,"0.0",,"82","46","  310","  320","21.0","23.0","    1","    1",,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-02-12","4.47",,"0.00","0.0","0.0",,"82","44","  310","  320","18.1","21.9","    1","    1",,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-02-13","8.95",,"0.00","0.0","0.0",,"79","58","  320","  320","18.1","23.9",,,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-02-14","7.16",,"0.00","0.0","0.0",,"78","55","  360","   30","19.9","30.0",,,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-02-15","6.49",,"0.00","0.0","0.0",,"84","59","  350","   20","16.1","21.9",,,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-02-16","3.36",,"0.00","0.0","0.0",,"88","51","  300","  300","12.1","13.0",,,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-02-17","8.28",,"0.50",,"0.0",,"67","47","  150","  150","25.9","36.0","    1",,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-02-18","6.26",,"0.17","0.0","0.0",,"66","50","  310","  320","18.1","21.9","    1",,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-02-19","7.61",,"0.00","0.0","0.0",,"64","42","  310","  330","21.0","23.9",,,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-02-20","8.50",,"0.00","0.0","0.0",,"71","47","  310","  310","23.0","27.1",,,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-02-21","7.61",,"0.00","0.0","0.0",,"74","41","  310","  320","21.9","28.0",,,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-02-22","6.71",,"0.00","0.0","0.0",,"75","51","  360","  360","19.9","27.1",,,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-02-23","3.36",,"0.00","0.0","0.0",,"80","47","  310","  310","25.1","31.1",,,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-02-24","3.58",,"0.00","0.0","0.0",,"76","42","  310","  310","19.9","21.9",,,,"    1"
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-02-25","3.36",,"0.00","0.0","0.0",,"78","42","  320","  320","17.0","19.9",,,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-02-26","5.59",,"0.00","0.0","0.0",,"72","43","  310","  310","23.0","27.1","    1",,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-02-27","9.17",,"0.00","0.0","0.0",,"79","50","  310","  320","23.0","30.0","    1",,,
